ds,yhat,yhat_lower,yhat_upper
2024-06-14,205.79422611101202,195.9147551814277,215.752257501762
2024-06-17,206.64702945927627,196.90066483483432,216.82058202957907
2024-06-18,206.838217972518,197.8474637001473,216.59723910480147
2024-06-20,207.22662929641976,197.87523779349547,217.0185570801454
2024-06-21,207.48577509439465,197.3980617932923,217.3650448951078
2024-06-24,208.4637871571423,198.30796239734323,218.32499670788408
2024-06-25,208.70567348991887,198.1348110055958,218.41433122826228
2024-06-26,208.93350378098944,198.46546462387062,218.5994657480742
2024-06-27,209.20514125166395,199.33831827485972,219.41946999506797
2024-06-28,209.52268244091817,200.25069213043446,219.52672114569975
2024-07-01,210.67212469799622,200.73762995339047,220.33968658329584
2024-07-02,210.96498906820895,201.63334103611555,221.3972458836506
2024-07-03,211.23811082460242,202.3027607726828,220.8178948146669
2024-07-05,211.89462444238558,202.11493085524185,221.0373858499185
2024-07-08,213.06632392002965,203.54777007699045,222.78055758913422
2024-07-09,213.34128344820058,203.82980565982984,223.19498608142052
2024-07-10,213.58270838216148,204.35140269686886,223.357432265696
2024-07-11,213.84664434639552,203.84652551610333,223.5173350260706
2024-07-12,214.13374697848016,204.46967952599326,223.96476315823037
2024-07-15,215.04785774327027,205.87695449013484,225.56612266770207
2024-07-16,215.21430679352463,205.2818405229042,225.32065881476876
2024-07-17,215.33841699228375,206.0801111930429,225.56460713529066
2024-07-18,215.4781624386025,205.4737966358968,225.3290096818222
2024-07-19,215.63635674539034,206.24015573454338,225.420289295249
2024-07-22,216.1594864312293,205.62506420557656,225.35982708044065
2024-07-23,216.20265538250973,206.78769564262709,225.8348495514953
2024-07-24,216.21126060472443,206.42099853101,225.8825409995371
2024-07-25,216.24570945240293,205.60571319548455,226.2587482143129
2024-07-26,216.3110840884391,207.29394657682712,226.9105344504207
2024-07-29,216.64962057419794,206.6791715142562,226.7347346578206
2024-07-30,216.6672954304918,206.17546967021025,226.05546079527215
2024-07-31,216.66985683610662,206.68140876289124,226.74415162300517
2024-08-01,216.71793888251432,206.7341010422279,226.3553252438459
2024-08-02,216.81640173457347,206.62916864290432,225.70571956281455
2024-08-05,217.36193652973688,207.34639968178604,226.79227467569473
2024-08-06,217.47934978676273,208.13161138932298,227.60503992514637
2024-08-07,217.59343839495577,208.10633669515136,227.14535555697552
2024-08-08,217.7621746219679,207.06872061842947,227.1606429356494
2024-08-09,217.9874868657792,208.06111193548546,227.7132142732239
2024-08-12,218.91871185758222,209.67554558142916,228.3402036227948
2024-08-13,219.15531461662601,208.5964051568468,228.97074095367486
2024-08-14,219.37841570835764,209.2117998778068,229.3771308629658
2024-08-15,219.64288324937817,210.28354726703427,229.18190022618123
2024-08-16,219.94777002538956,209.72691932890558,229.87632319525
2024-08-19,220.99682527471057,211.26411350266298,230.6427946845094
2024-08-20,221.22641794232686,211.10129215678347,231.04260135600884
2024-08-21,221.41752509952465,210.8935991892008,231.76901225036275
2024-08-22,221.62466870259053,211.36310778335348,231.84185922287242
2024-08-23,221.8470836970765,212.0062937116006,231.42800436563186
2024-08-26,222.5075135160307,212.2392033373362,232.49081513536052
2024-08-27,222.56620525996976,212.87866805577505,231.77224693375848
2024-08-28,222.56971101550965,213.0000945203341,232.65964601803896
2024-08-29,222.575514305991,212.75866791364527,232.68586148249
2024-08-30,222.58611119538304,212.58997111760522,232.12706136484476
2024-09-03,222.42490353446658,212.52846731097617,232.03950125598732
2024-09-04,222.21854650361757,212.56524433773396,233.16090300208145
2024-09-05,222.02575276681398,213.0571880352686,231.63075068728898
2024-09-06,221.85228782245588,211.63166710813852,231.72278036006577
2024-09-09,221.41298312847655,211.70649331688577,231.08441852712562
2024-09-10,221.15409352591556,211.86130188138867,230.779024051723
2024-09-11,220.87319785406316,210.50626436986073,230.4829966529503
2024-09-12,220.6320676850323,211.338883600094,230.62297190789124
2024-09-13,220.43675191336945,210.47423329662624,229.90847072936933
2024-09-16,220.0861427307599,210.0455436954616,229.76683074193127
2024-09-17,219.90432350307023,210.37293549964127,229.00957490731952
2024-09-18,219.7212368780069,210.24951564211634,228.60960238648428
2024-09-19,219.59630732915195,209.17255461365897,229.28148400958142
2024-09-20,219.53295539266222,209.26331037880942,229.23031655217423
2024-09-23,219.64365963526748,210.00780349515892,229.84458528753046
2024-09-24,219.62721394374285,210.16044342049005,229.49392037070962
2024-09-25,219.61019475545137,210.1628906543041,228.9629674973954
2024-09-26,219.64909743729876,210.05680150014334,230.0221529402504
2024-09-27,219.74458892591332,209.4115736159017,228.83531872143365
2024-09-30,220.27806557178306,210.67449120093482,229.79620102848776
2024-10-01,220.37820969066823,210.88258020888927,230.20982622220973
2024-10-02,220.46327418874918,211.80255190452436,230.58524148411172
2024-10-03,220.58890978606203,211.13179887460686,230.82464669279682
2024-10-04,220.75531883289668,211.60672762584355,231.58359734791236
2024-10-07,221.40750589455928,211.5182781116837,231.1494964754349
2024-10-08,221.517841992739,211.89817337170848,231.37119138412058
2024-10-09,221.6001300998905,211.67995963099486,231.95671826302964
2024-10-10,221.71141416705092,211.9015638645346,231.62740966090408
2024-10-11,221.85346810668887,212.22632944333884,231.52757419610703
2024-10-14,222.38994123438354,212.898707308865,231.6763966798131
2024-10-15,222.45349091666884,213.4781172043615,232.54692497039156
2024-10-16,222.48782581168888,213.11491722041546,232.0458788406998
2024-10-17,222.55162760334008,212.48519922857656,232.24585865281233
2024-10-18,222.64817081701096,212.97890033461033,233.13619162009567
2024-10-21,223.07229515348408,212.92297142668673,232.85125208982
2024-10-22,223.10955209167912,212.55772381056343,232.92296518962763
2024-10-23,223.12417193333454,213.22184828016148,232.89140321749002
2024-10-24,223.1751033990833,213.21886032298133,233.61346694828887
2024-10-25,223.26567633332107,212.86424063165884,233.47426268868765
2024-10-28,223.71101894971125,213.9322389981308,233.02924168366695
2024-10-29,223.76685365743205,213.8887585077203,233.8743733779167
2024-10-30,223.8047408088992,213.34339831734587,233.64561124546245
2024-10-31,223.88287911135947,213.22732971217852,233.80063553088468
2024-11-01,224.00381797026867,215.20485539098726,233.75009864717006
2024-11-04,224.5515919353964,214.6076583619768,233.67060006151766
2024-11-05,224.64306130206708,214.4926337999023,234.13118123721125
2024-11-06,224.71639230153556,214.79922655267856,234.3936938699552
2024-11-07,224.82938283177165,215.4235462697391,234.6039449340536
2024-11-08,224.98430415412898,214.98887034244365,234.52064914068632
2024-11-11,225.6279128598783,216.30340692519897,234.97380053788189
2024-11-12,225.74958764470253,215.5384278406226,235.84688490695072
2024-11-13,225.85266192689804,215.68788227276977,235.51954418102468
2024-11-14,225.99529748584806,216.32769275968795,235.44592080549472
2024-11-15,226.18017847421714,216.95383257229201,235.81788029599886
2024-11-18,226.9198780274378,217.46772526506388,236.8344608058065
2024-11-19,227.07697111889323,217.17713021166563,237.2375060929954
2024-11-20,227.2176610789941,217.57024322320783,237.07356459808756
2024-11-21,227.4002664578036,217.37048841445724,237.04353105879622
2024-11-22,227.6275014108707,218.0617119573093,237.60345914937233
2024-11-25,228.50664797831075,218.36073995581478,238.6713919789448
2024-11-26,228.71290945052016,218.8412772659024,238.67820628768712
2024-11-27,228.90298135331204,218.99383367881177,238.72609831548942
2024-11-29,229.4084410204615,219.53029398180678,238.74561284470903
2024-12-02,230.40576412853747,220.23894474995754,240.05963016247694
2024-12-03,230.63946899490787,220.78414589530004,241.09411697942937
2024-12-04,230.848737800927,220.73216579079258,240.51024925666331
2024-12-05,231.08964553612782,220.88373748797588,240.31615914080578
2024-12-06,231.3625963762119,221.6078476419879,241.26513448094155
2024-12-09,232.28047789476187,222.55763662197734,241.93436963429318
2024-12-10,232.45970981414115,222.93269425575025,242.84004253670537
2024-12-11,232.59967607798603,222.8289406753994,242.08156637748402
2024-12-12,232.75632347190856,223.37547467059704,242.32633980488438
2024-12-13,232.93020165062683,222.76257851821057,243.16961537176513
2024-12-16,233.46773658321175,223.65647951501114,243.35580331789174
2024-12-17,233.49582502745992,223.4626250116071,242.96428901545497
2024-12-18,233.47482928821015,223.92246590824854,243.60439012206845
2024-12-19,233.4624913079212,223.5635551054983,243.91018683535597
2024-12-20,233.46137338429,223.46307188743612,243.86047375622695
2024-12-23,233.46054510010615,223.0591954694895,243.75486305795332
2024-12-24,233.31286641207478,223.19239199326648,242.46780085111865
2024-12-26,232.9486869262199,223.3442568804468,242.96251042074476
2024-12-27,232.79745163711337,223.1209346682401,242.83494068359184
2024-12-30,232.43479025700896,223.1107696249859,242.58039412723147
2024-12-31,232.20250388301275,222.34978161713636,241.77472779557496
2025-01-01,231.9478235046267,221.85617814890622,241.41044878054763
2025-01-02,231.73215016769223,222.33967169694293,241.27104360925753
2025-01-03,231.5613071751516,221.89529899072906,241.41547882168788
2025-01-04,228.23808835620176,218.06630399313954,237.85086321671415
2025-01-05,228.09060842590208,218.83868153548732,238.12158524076384
2025-01-06,231.27834720984015,222.1788699694418,240.36565180012053
2025-01-07,231.11801870834265,221.4142733696803,240.16056921554048
2025-01-08,230.956719545783,220.93295067064574,240.23181650734034
2025-01-09,230.85458169346236,221.67308637399697,240.78143502651676
2025-01-10,230.81584793204811,220.67122497987464,241.60391268398266
2025-01-11,227.6414457390723,217.6043969326117,237.86702874925697
